"f922b7e","ferdinandl007","Tue, 3 Mar 2020 11:48:33 +0000",".",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"d537848","ferdinandl007","Tue, 3 Mar 2020 11:47:57 +0000",".",	 1 file changed, 4 insertions(+), 2 deletions(-)	
"4553b0e","ferdinandl007","Tue, 3 Mar 2020 10:50:14 +0000",".",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"5b6bab0","ferdinandl007","Tue, 3 Mar 2020 10:28:47 +0000","add",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"ba27998","Ferdinand Loesch","Tue, 3 Mar 2020 10:25:27 +0000","Update ARNavigationKit.podspec",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"556b3a6","Ferdinand Loesch","Tue, 3 Mar 2020 10:00:40 +0000","Update README.md",	 1 file changed, 1 insertion(+)	
"63b6e25","Ferdinand Loesch","Mon, 2 Mar 2020 21:33:10 +0000","Update README.md",	 1 file changed, 4 insertions(+), 4 deletions(-)	
"e27d039","Ferdinand Loesch","Mon, 2 Mar 2020 21:30:29 +0000","Update README.md",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"75b3b45","Ferdinand Loesch","Mon, 2 Mar 2020 21:27:12 +0000","Update README.md",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"f17dec8","Ferdinand Loesch","Mon, 2 Mar 2020 21:26:54 +0000","Update README.md",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9096e9c","Ferdinand Loesch","Mon, 2 Mar 2020 21:23:24 +0000","Update README.md",	 1 file changed, 1 insertion(+), 3 deletions(-)	
"d9ab584","Ferdinand Loesch","Mon, 2 Mar 2020 21:06:13 +0000","Update README.md",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"4952298","Ferdinand Loesch","Mon, 2 Mar 2020 21:05:53 +0000","Update README.md",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"2fb439d","Ferdinand Loesch","Mon, 2 Mar 2020 21:05:25 +0000","Update README.md",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"2cb1dcd","Ferdinand Loesch","Mon, 2 Mar 2020 21:04:37 +0000","Update README.md",	 1 file changed, 2 insertions(+), 12 deletions(-)	
"a094138","Ferdinand Loesch","Mon, 2 Mar 2020 21:00:27 +0000","Update README.md",	 1 file changed, 7 insertions(+), 7 deletions(-)	
"7acb369","Ferdinand Loesch","Mon, 2 Mar 2020 20:59:40 +0000","Update README.md",	 1 file changed, 20 insertions(+), 20 deletions(-)	
"ecfd4fe","Ferdinand Loesch","Mon, 2 Mar 2020 20:57:16 +0000","Update README.md",	 1 file changed, 18 insertions(+), 2 deletions(-)	
